Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 11-60 Female,0.007514,0.005811,0.027736,0.054159,0.000444,0.000684,0.000457,0.000727
Age 11-60 Male,-0.010001,0.005498,-0.035354,0.051451,-0.000851,0.000650,-0.001244,0.000689
Age 60+All,-0.005811,0.006497,-0.169787,0.060607,0.001204,0.000760,-0.001197,0.000816
Age 60+ Female,-0.009768,0.008645,-0.176128,0.080352,0.000587,0.001011,-0.001665,0.001090
Age 60+ Male,-0.001110,0.009239,-0.161172,0.086640,0.001919,0.001080,-0.000651,0.001157
All: LAG 13,-0.003926,0.003554,-0.076592,0.033107,0.000456,0.000420,-0.001079,0.000443
Female,-0.001060,0.004860,-0.045121,0.045153,0.000929,0.000573,-0.001139,0.000608
Male,-0.006629,0.004651,-0.106435,0.043448,0.000002,0.000551,-0.001022,0.000578
Warm All,-0.007636,0.004131,-0.132374,0.038902,0.001136,0.000520,-0.001720,0.000511
Warm Female,-0.001018,0.005242,-0.098614,0.049284,0.001551,0.000659,-0.001232,0.000651
Warm Male,-0.013839,0.004948,-0.164105,0.046746,0.000742,0.000625,-0.002174,0.000612
Cold All,0.001736,0.004341,0.010571,0.039587,-0.000340,0.000464,0.000009,0.000558
Cold Female,-0.000055,0.005598,0.038844,0.050830,0.000271,0.000597,-0.000843,0.000722
Cold Male,0.003464,0.005512,-0.016632,0.050475,-0.000932,0.000590,0.000826,0.000706
Age 0-10 All,0.004310,0.011289,-0.057222,0.105105,-0.000736,0.001318,-0.001241,0.001402
Age 0-10 Female,0.012211,0.016489,0.005214,0.152728,-0.000241,0.001906,-0.000424,0.002051
Age 0-10 Male,-0.002248,0.014743,-0.110534,0.137824,-0.001181,0.001735,-0.001914,0.001830
Age 11-60 All,-0.004441,0.004161,-0.055283,0.038764,0.000529,0.000493,-0.000866,0.000518
Age 11-60 Female,0.001238,0.005794,-0.001673,0.053756,0.001088,0.000685,-0.000397,0.000724
Age 11-60 Male,-0.009495,0.005496,-0.103610,0.051392,0.000023,0.000653,-0.001281,0.000683
Age 60+All,-0.005303,0.006492,-0.140212,0.060542,0.000674,0.000763,-0.001606,0.000812
Age 60+ Female,-0.009976,0.008647,-0.161597,0.080641,0.000913,0.001016,-0.003084,0.001087
Age 60+ Male,0.000063,0.009224,-0.114671,0.086088,0.000385,0.001086,0.000074,0.001148
All: LAG 14,-0.006368,0.003546,-0.094642,0.033078,0.000835,0.000419,-0.001330,0.000442
Female,-0.006229,0.004856,-0.089114,0.045225,0.000509,0.000573,-0.001386,0.000606
Male,-0.006482,0.004637,-0.099849,0.043336,0.001145,0.000549,-0.001274,0.000577
Warm All,-0.010944,0.004118,-0.154481,0.038784,0.001466,0.000520,-0.001900,0.000509
Warm Female,-0.012505,0.005233,-0.154288,0.049221,0.001249,0.000660,-0.001901,0.000648
Warm Male,-0.009446,0.004921,-0.154521,0.046469,0.001671,0.000622,-0.001894,0.000607
Cold All,0.001837,0.004339,-0.002929,0.039767,0.000174,0.000463,-0.000274,0.000558
Cold Female,0.005772,0.005593,0.021225,0.051222,-0.000295,0.000597,-0.000239,0.000720
Cold Male,-0.001985,0.005525,-0.026461,0.050680,0.000625,0.000590,-0.000308,0.000711
Age 0-10 All,0.001888,0.011334,-0.088477,0.105522,0.000099,0.001312,-0.001484,0.001417
Age 0-10 Female,0.007479,0.016506,-0.133636,0.152586,0.000866,0.001903,-0.000774,0.002063
Age 0-10 Male,-0.002741,0.014843,-0.051221,0.139068,-0.000557,0.001724,-0.002067,0.001858
Age 11-60 All,-0.004240,0.004154,-0.055737,0.038705,0.000998,0.000492,-0.001063,0.000517
Age 11-60 Female,-0.002836,0.005793,-0.052959,0.053950,0.000887,0.000685,-0.001177,0.000723
Age 11-60 Male,-0.005487,0.005485,-0.058241,0.051143,0.001099,0.000651,-0.000963,0.000682
Age 60+All,-0.014751,0.006455,-0.201293,0.060517,0.000645,0.000763,-0.001998,0.000806
Age 60+ Female,-0.017792,0.008612,-0.161167,0.080485,-0.000479,0.001018,-0.002027,0.001075
Age 60+ Male,-0.011107,0.009157,-0.247151,0.086237,0.001938,0.001081,-0.001949,0.001144
Air Pollutant:,AQHIX,,NO2,,O2H8,,SO2,
