Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
All: LAG 12,-0.003270,0.005411,0.006282,0.048825,-0.000007,0.000634,-0.000566,0.000674
Female,-0.001896,0.006763,-0.012719,0.060910,-0.000190,0.000795,-0.000155,0.000842
Male,-0.005330,0.008077,0.035462,0.073103,0.000258,0.000942,-0.001185,0.001008
Warm All,-0.012283,0.005811,-0.054216,0.052748,0.000451,0.000724,-0.001762,0.000722
Warm Female,-0.004784,0.007007,-0.060913,0.063570,0.000311,0.000875,-0.000358,0.000870
Warm Male,-0.023841,0.008324,-0.043420,0.075620,0.000671,0.001032,-0.003950,0.001038
Cold All,0.009227,0.006115,0.085464,0.054526,-0.000597,0.000655,0.000969,0.000776
Cold Female,0.000412,0.007476,0.048029,0.066295,-0.000900,0.000801,-0.000359,0.000948
Cold Male,0.021745,0.008658,0.140000,0.077855,-0.000173,0.000928,0.002873,0.001099
Age 0-10 All,0.024214,0.028460,-0.034498,0.260487,0.000315,0.003296,0.005566,0.003536
Age 0-10 Female,0.045358,0.038634,0.069228,0.362104,0.001699,0.004444,0.011778,0.004749
Age 0-10 Male,0.010057,0.036985,-0.088628,0.332458,-0.000786,0.004307,0.000865,0.004653
Age 11-60 All,-0.006262,0.006281,-0.012256,0.056770,-0.000037,0.000735,-0.001502,0.000783
Age 11-60 Female,-0.000554,0.007955,0.003417,0.071674,0.000052,0.000936,-0.000827,0.000989
Age 11-60 Male,-0.015727,0.009890,-0.038211,0.089883,-0.000186,0.001148,-0.002625,0.001239
Age 60+All,0.000517,0.009272,0.049092,0.083267,0.000021,0.001091,0.000869,0.001153
Age 60+ Female,-0.008568,0.012209,-0.056311,0.109522,-0.000917,0.001435,0.000556,0.001522
Age 60+ Male,0.012734,0.013734,0.192214,0.123563,0.001230,0.001617,0.001298,0.001703
All: LAG 13,-0.007579,0.005387,-0.014915,0.048818,-0.000253,0.000637,-0.000808,0.000669
Female,0.001807,0.006736,-0.003856,0.060935,0.000828,0.000800,0.000014,0.000834
Male,-0.021659,0.008045,-0.031558,0.073141,-0.001844,0.000946,-0.002051,0.001002
Warm All,-0.013891,0.005767,-0.056747,0.052984,-0.000244,0.000728,-0.001776,0.000715
Warm Female,0.000236,0.006957,-0.035176,0.063939,0.001121,0.000881,-0.000573,0.000861
Warm Male,-0.035797,0.008276,-0.090049,0.076046,-0.002324,0.001040,-0.003655,0.001031
Cold All,-0.001290,0.006101,0.027738,0.054025,-0.000297,0.000657,-0.000009,0.000770
Cold Female,0.001331,0.007471,0.026812,0.065711,0.000452,0.000805,0.000340,0.000942
Cold Male,-0.005048,0.008636,0.029306,0.077205,-0.001366,0.000929,-0.000505,0.001092
Age 0-10 All,0.003366,0.027873,-0.054870,0.259233,-0.000894,0.003262,0.001339,0.003466
Age 0-10 Female,0.026180,0.037440,0.212723,0.352500,-0.001809,0.004433,0.001524,0.004627
Age 0-10 Male,-0.015434,0.036591,-0.244221,0.336550,-0.000388,0.004241,0.001263,0.004572
Age 11-60 All,-0.007973,0.006260,-0.027574,0.056659,-0.000025,0.000738,-0.001235,0.000778
Age 11-60 Female,-0.000660,0.007942,-0.033282,0.071684,0.001516,0.000940,-0.000736,0.000986
Age 11-60 Male,-0.019925,0.009852,-0.017479,0.089570,-0.002489,0.001154,-0.002051,0.001230
Age 60+All,-0.007866,0.009230,0.015296,0.083631,-0.000690,0.001100,-0.000103,0.001141
Age 60+ Female,0.005857,0.012126,0.051169,0.109891,-0.000630,0.001450,0.001677,0.001495
Age 60+ Male,-0.025941,0.013723,-0.031615,0.124363,-0.000781,0.001627,-0.002461,0.001702
All: LAG 14,-0.013913,0.005377,-0.068481,0.048619,0.000179,0.000639,-0.001289,0.000667
Female,-0.010123,0.006721,-0.067845,0.060770,0.000786,0.000802,-0.001334,0.000833
Male,-0.019710,0.008046,-0.069767,0.072690,-0.000718,0.000950,-0.001233,0.000998
Warm All,-0.008288,0.005740,-0.099278,0.052540,0.001034,0.000732,-0.000851,0.000709
Warm Female,-0.003261,0.006906,-0.101087,0.063273,0.002101,0.000884,-0.000694,0.000852
Warm Male,-0.016297,0.008261,-0.097597,0.075521,-0.000594,0.001047,-0.001111,0.001021
Cold All,-0.023816,0.006121,-0.037285,0.054252,-0.000811,0.000658,-0.002371,0.000774
Cold Female,-0.022225,0.007505,-0.037791,0.066356,-0.000690,0.000806,-0.002733,0.000949
Cold Male,-0.026106,0.008659,-0.036657,0.076837,-0.000988,0.000929,-0.001863,0.001094
Age 0-10 All,-0.004200,0.028041,-0.044855,0.254869,-0.000106,0.003247,-0.001272,0.003507
Age 0-10 Female,-0.006748,0.038097,0.228382,0.353686,0.002935,0.004381,-0.003050,0.004784
Age 0-10 Male,-0.002461,0.036499,-0.247809,0.325673,-0.002705,0.004246,0.000148,0.004552
Age 11-60 All,-0.012209,0.006253,-0.056149,0.056360,-0.000120,0.000742,-0.001126,0.000775
Age 11-60 Female,-0.008321,0.007927,-0.077348,0.071391,0.000770,0.000944,-0.001209,0.000983
Age 11-60 Male,-0.018627,0.009858,-0.021693,0.088903,-0.001531,0.001160,-0.001003,0.001222
Age 60+All,-0.018640,0.009205,-0.098385,0.083654,0.000857,0.001100,-0.001646,0.001139
Age 60+ Female,-0.014492,0.012083,-0.066441,0.109988,0.000637,0.001452,-0.001472,0.001494
Age 60+ Male,-0.024114,0.013707,-0.139821,0.124271,0.001131,0.001627,-0.001871,0.001698
Air Pollutant:,AQHIX,,NO2,,O3H8,,SO2,
All: LAG 0,0.009203,0.003591,0.002373,0.000629,-0.000244,0.000409,-0.004457,0.003386
Female,0.008767,0.004497,0.002112,0.000788,-0.000071,0.000513,-0.009113,0.004244
Male,0.009849,0.005382,0.002766,0.000942,-0.000504,0.000611,0.002506,0.005064
Warm All,0.007207,0.003927,0.002484,0.000690,-0.000842,0.000450,-0.005025,0.003166
