Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Age 11-60 Female,-0.000044,0.002987,0.029260,0.027561,-0.000032,0.000356,-0.000176,0.000373
Age 11-60 Male,-0.001299,0.002501,0.014316,0.023252,-0.000150,0.000300,-0.000283,0.000313
Age 60+All,-0.001547,0.003473,0.024471,0.032112,-0.000311,0.000413,-0.000692,0.000434
Age 60+ Female,-0.003544,0.004134,-0.017069,0.038192,-0.000533,0.000492,-0.001029,0.000516
Age 60+ Male,0.001485,0.004783,0.088207,0.044246,0.000025,0.000570,-0.000178,0.000597
All:LAG 11,0.000946,0.002076,0.015620,0.019456,-0.000024,0.000247,-0.000317,0.000259
Female,0.000982,0.002597,0.020735,0.024243,-0.000044,0.000309,-0.000440,0.000324
Male,0.000911,0.002305,0.011355,0.021690,-0.000007,0.000275,-0.000216,0.000288
Warm All,-0.001867,0.002483,-0.046915,0.031334,-0.000092,0.000287,-0.000440,0.000344
Warm Female,-0.004863,0.002994,-0.078783,0.037870,-0.000168,0.000346,-0.000919,0.000415
Warm Male,0.000512,0.002889,-0.021706,0.036462,-0.000031,0.000335,-0.000061,0.000399
Cold All,0.002960,0.003487,0.050085,0.025279,-0.000240,0.000444,-0.000146,0.000384
Cold Female,0.006649,0.004459,0.070875,0.032336,-0.000132,0.000567,0.000020,0.000492
Cold Male,-0.000226,0.003750,0.032243,0.027191,-0.000334,0.000479,-0.000291,0.000413
Age 0-10 All,0.004275,0.004143,-0.012134,0.039766,0.000710,0.000494,-0.000470,0.000522
Age 0-10 Female,0.004487,0.005752,-0.002707,0.055223,0.000664,0.000685,-0.000660,0.000724
Age 0-10 Male,0.004117,0.005063,-0.019133,0.048582,0.000745,0.000603,-0.000335,0.000637
Age 11-60 All,0.000723,0.002229,0.016003,0.020854,-0.000098,0.000266,-0.000162,0.000278
Age 11-60 Female,0.001149,0.002984,0.028123,0.027777,-0.000045,0.000355,-0.000228,0.000372
Age 11-60 Male,0.000405,0.002501,0.007324,0.023508,-0.000136,0.000299,-0.000116,0.000312
Age 60+All,-0.000396,0.003469,0.030343,0.032236,-0.000212,0.000412,-0.000783,0.000433
Age 60+ Female,-0.001016,0.004124,0.011901,0.038256,-0.000349,0.000490,-0.000870,0.000514
Age 60+ Male,0.000557,0.004787,0.059072,0.044600,-0.000005,0.000567,-0.000650,0.000598
All:LAG 12,-0.000166,0.002080,0.001402,0.019554,-0.000066,0.000247,-0.000274,0.000259
Female,0.001159,0.002601,0.015708,0.024321,-0.000217,0.000309,-0.000183,0.000324
Male,-0.001272,0.002307,-0.010673,0.021798,0.000059,0.000275,-0.000350,0.000288
Warm All,-0.002951,0.002502,-0.087856,0.031768,0.000020,0.000287,-0.000433,0.000346
Warm Female,-0.005224,0.003016,-0.120819,0.038277,-0.000049,0.000345,-0.000850,0.000418
