Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Cold Male,-0.000508,0.003750,-0.013026,0.032316,0.000452,0.000577,0.000412,0.000507
Age 0-10 All,0.010142,0.004143,0.093169,0.063382,0.001772,0.000896,0.001096,0.000908
Age 0-10 Female,-0.012232,0.005752,-0.060648,0.092171,0.002622,0.001301,-0.001361,0.001319
Age 0-10 Male,0.027581,0.005063,0.212469,0.082426,0.001125,0.001167,0.003041,0.001183
Age 11-60 All,0.000741,0.002229,-0.034258,0.034626,0.000526,0.000459,0.000057,0.000480
Age 11-60 Female,-0.000534,0.002984,-0.024847,0.040930,0.000397,0.000542,-0.000189,0.000568
Age 11-60 Male,0.002114,0.002501,-0.044239,0.040182,0.000664,0.000533,0.000319,0.000556
Age 60+All,0.000100,0.003469,0.026223,0.043195,0.000244,0.000569,-0.000057,0.000597
Age 60+ Female,0.001162,0.004124,0.056133,0.049757,0.000133,0.000657,-0.000081,0.000687
Age 60+ Male,-0.001164,0.004787,-0.008777,0.052566,0.000370,0.000691,-0.000034,0.000727
All: LAG 12,0.001204,0.002080,0.016405,0.032491,0.000092,0.000430,0.000423,0.000450
Female,-0.002113,0.002601,0.004977,0.036610,0.000100,0.000484,-0.000075,0.000508
Male,0.004769,0.002307,0.028620,0.035990,0.000084,0.000476,0.000957,0.000498
Warm All,0.002262,0.002502,-0.026411,0.038188,0.000059,0.000351,0.000403,0.000423
Warm Female,-0.003610,0.003016,-0.083517,0.043979,-0.000286,0.000404,-0.000327,0.000487
Warm Male,0.008633,0.002907,0.035057,0.043681,0.000433,0.000402,0.001196,0.000485
Cold All,0.001598,0.003496,0.044580,0.029882,-0.000103,0.000534,0.000464,0.000471
Cold Female,0.001821,0.004463,0.056198,0.033086,0.000296,0.000592,0.000177,0.000523
Cold Male,0.001329,0.003750,0.031978,0.032458,-0.000531,0.000578,0.000766,0.000509
Age 0-10 All,0.016333,0.004156,0.148950,0.063312,0.001170,0.000897,0.001757,0.000910
Age 0-10 Female,0.001305,0.005764,-0.036805,0.091878,0.002338,0.001304,0.000569,0.001322
Age 0-10 Male,0.028014,0.005079,0.294043,0.082520,0.000280,0.001168,0.002681,0.001187
Age 11-60 All,-0.000291,0.002233,-0.018848,0.034746,0.000159,0.000458,0.000194,0.000481
Age 11-60 Female,-0.003132,0.002987,-0.023537,0.041103,0.000125,0.000541,-0.000209,0.000569
Age 11-60 Male,0.002750,0.002504,-0.013819,0.040286,0.000196,0.000532,0.000621,0.000556
Age 60+All,0.000766,0.003469,0.046779,0.043274,-0.000217,0.000567,0.000551,0.000597
Age 60+ Female,-0.000978,0.004125,0.058346,0.049765,-0.000283,0.000654,0.000046,0.000688
Age 60+ Male,0.002775,0.004789,0.032782,0.052768,-0.000139,0.000689,0.001138,0.000726
All: LAG 13,-0.003249,0.002084,-0.059127,0.032767,0.001060,0.000433,0.000007,0.000447
Female,-0.006864,0.002605,-0.070245,0.036914,0.000993,0.000488,-0.000601,0.000503
Male,0.000632,0.002315,-0.047257,0.036288,0.001132,0.000480,0.000658,0.000494
Warm All,-0.000091,0.002518,-0.098327,0.037870,0.000848,0.000357,0.000293,0.000422
Warm Female,-0.004852,0.003028,-0.124944,0.043618,0.000427,0.000411,-0.000580,0.000486
Warm Male,0.005031,0.002927,-0.069817,0.043338,0.001302,0.000408,0.001237,0.000482
Cold All,-0.004764,0.003485,-0.032545,0.030342,0.001202,0.000531,-0.000240,0.000465
Cold Female,-0.006688,0.004459,-0.035099,0.033639,0.001590,0.000590,-0.000629,0.000517
Cold Male,-0.002713,0.003741,-0.029833,0.032914,0.000788,0.000576,0.000173,0.000504
Age 0-10 All,0.012569,0.004157,0.047906,0.063544,0.001270,0.000900,0.000925,0.000908
Age 0-10 Female,0.010114,0.005772,-0.033208,0.092261,0.002361,0.001307,0.000789,0.001320
Age 0-10 Male,0.014488,0.005078,0.110773,0.082797,0.000443,0.001172,0.001028,0.001181
Age 11-60 All,-0.003473,0.002240,-0.084991,0.034989,0.001130,0.000461,0.000002,0.000477
Age 11-60 Female,-0.007028,0.002994,-0.088131,0.041388,0.000967,0.000545,-0.000596,0.000564
Age 11-60 Male,0.000314,0.002513,-0.081676,0.040582,0.001302,0.000536,0.000637,0.000552
Age 60+All,-0.005945,0.003477,-0.038913,0.043764,0.000906,0.000573,-0.000158,0.000592
Age 60+ Female,-0.009272,0.004133,-0.047561,0.050357,0.000817,0.000660,-0.000828,0.000682
Age 60+ Male,-0.002104,0.004806,-0.029015,0.053266,0.001007,0.000696,0.000618,0.000719
All: LAG 14,-0.008404,0.002085,-0.064968,0.032916,0.001040,0.000435,-0.000435,0.000444
Female,-0.009177,0.002608,-0.078985,0.037107,0.001105,0.000490,-0.000571,0.000499
Male,-0.007566,0.002313,-0.049940,0.036414,0.000969,0.000482,-0.000288,0.000492
Warm All,-0.008935,0.002517,-0.108448,0.037574,0.000031,0.000362,-0.000642,0.000421
Warm Female,-0.008931,0.003034,-0.162826,0.043223,-0.000007,0.000416,-0.000691,0.000484
Warm Male,-0.008952,0.002921,-0.049781,0.043011,0.000070,0.000414,-0.000591,0.000482
Cold All,-0.006119,0.003487,-0.038758,0.030659,0.002317,0.000528,-0.000272,0.000461
Cold Female,-0.007704,0.004466,-0.033191,0.034032,0.002462,0.000586,-0.000465,0.000511
Cold Male,-0.004413,0.003736,-0.044680,0.033194,0.002164,0.000573,-0.000065,0.000500
Age 0-10 All,0.004437,0.004151,0.008427,0.063602,0.000924,0.000904,0.000504,0.000909
Age 0-10 Female,0.012384,0.005761,-0.004535,0.092281,0.002902,0.001312,0.001022,0.001326
Age 0-10 Male,-0.001613,0.005072,0.018626,0.083017,-0.000606,0.001178,0.000110,0.001182
Age 11-60 All,-0.007314,0.002240,-0.066289,0.035151,0.001218,0.000464,-0.000292,0.000474
Age 11-60 Female,-0.010152,0.002997,-0.090036,0.041583,0.001283,0.000547,-0.000581,0.000560
Age 11-60 Male,-0.004266,0.002511,-0.041001,0.040762,0.001148,0.000539,0.000018,0.000550
Age 60+All,-0.012664,0.003479,-0.078507,0.043994,0.000764,0.000576,-0.000844,0.000586
Age 60+ Female,-0.010995,0.004134,-0.074181,0.050689,0.000534,0.000665,-0.000797,0.000674
Age 60+ Male,-0.014650,0.004807,-0.083879,0.053417,0.001026,0.000698,-0.000903,0.000713
Air Pollutant:,AQHIX,,NO2,,O3H8,,SO2,
All: LAG 0,0.015617,0.002401,0.003577,0.000415,-0.000021,0.000280,0.002869,0.002180
Female,0.016838,0.002705,0.003798,0.000468,0.000052,0.000314,0.003745,0.002453
Male,0.014303,0.002666,0.003340,0.000461,-0.000100,0.000310,0.001924,0.002417
Warm All,0.013376,0.002023,0.003716,0.000437,0.000546,0.000201,0.006378,0.002328
Warm Female,0.013997,0.002330,0.003798,0.000505,0.000615,0.000231,0.004878,0.002685
